country,iso2,admin1,iuName,iuId,iuCode,year,pgm,popTotal,popPreSac,popSac,popAdults,endLf,popReqPc,popNoTx,mda,epiEffMda,epiEffMdaN,cumMda,mdaScheme,mdaDrugs,ia,mdaLast,surveyLast,endemicityId
Nigeria,NG,Ekiti,Ise/Orun,36592,NGA0378736592,2028,1.0237,193884,31022,54288,100818,"Endemic (under post-intervention surveillance)",0,193884,0,0,0,14,NR,NR,NR,2022,2027,3
Nigeria,NG,Ekiti,Oye,36594,NGA0378736594,2021,1.0237,194168,31067,54367,100967,"Endemic (MDA not delivered)",194168,0,0,0,5,13,"MDA 1",ALB_IVM,pre-TAS,2022,2027,26
Nigeria,NG,Enugu,Aninri,36595,NGA0378836595,2021,1.0237,193471,30955,54172,100605,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Enugu,Orji-River,36608,NGA0378836608,2023,1.0237,191928,30709,53740,99802,"Endemic (under post-intervention surveillance)",0,191928,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Enugu,Orji-River,36608,NGA0378836608,2024,1.0237,196475,31436,55013,102166,"Endemic (under post-intervention surveillance)",0,196475,0,0,0,10,NR,NR,TAS2,2022,2027,3
Nigeria,NG,Enugu,Uzo-Uwani,36611,NGA0378836611,2024,1.0237,193204,30913,54097,100466,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Imo,Ehime-Mbano,36631,NGA0379136631,2021,1.0237,189432,30309,53041,98505,"Endemic (MDA not delivered)",189432,0,0,0,6,9,"MDA 1",ALB_IVM,TAS1,2021,2026,26
Nigeria,NG,Imo,Ehime-Mbano,36631,NGA0379136631,2022,1.0237,193920,31027,54298,100839,"Endemic (under post-intervention surveillance)",0,193920,0,0,0,9,NR,NR,NR,2021,2026,3
Nigeria,NG,Imo,Ihite/Uboma,36635,NGA0379136635,2025,1.0237,191845,30695,53716,99759,"Endemic (under post-intervention surveillance)",0,191845,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Imo,Ihite/Uboma,36635,NGA0379136635,2026,1.0237,196390,31422,54989,102122,"Endemic (under post-intervention surveillance)",0,196390,0,0,0,10,NR,NR,NR,2022,2027,3
Nigeria,NG,Imo,Nwangele,36643,NGA0379136643,2022,1.0237,190277,30445,53278,98944,Endemic,190277,0,1,1,5,9,"MDA 4",ALBx2,pre-TAS,2023,2028,26
Nigeria,NG,Imo,Nwangele,36643,NGA0379136643,2023,1.0237,194785,31166,54540,101288,Endemic,194785,0,1,1,6,10,"MDA 4",ALBx2,TAS1,2023,2028,26
Nigeria,NG,Imo,Obowo,36644,NGA0379136644,2026,1.0237,192111,30738,53792,99898,"Endemic (under post-intervention surveillance)",0,192111,0,0,0,11,NR,NR,NR,2022,2027,3
