year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2019,NGA0377636362,,2.0,3.0,155500.0,155500.0,101472.0,65.26,5.0,5.0,1.0
2020,NGA0377636362,,2.0,3.0,159084.0,159084.0,105252.0,66.16,6.0,6.0,1.0
2021,NGA0377636362,,2.0,1.0,163204.0,163204.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0377636362,0.0,2.0,1.0,167457.0,167457.0,0.0,0.0,6.0,6.0,0.0
2023,NGA0377636362,,2.0,1.0,171643.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0377636363,,0.0,0.0,164068.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636363,,0.0,0.0,168380.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377636363,,0.0,0.0,172590.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377636363,,0.0,0.0,176905.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0377636363,,0.0,0.0,181327.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0377636363,,0.0,0.0,185861.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0377636363,,0.0,0.0,190144.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0377636363,,0.0,0.0,195069.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0377636363,,0.0,0.0,200151.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0377636363,,0.0,0.0,205155.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NGA0377636364,19.02,,,,,,,,,
2014,NGA0377636364,,2.0,1.0,135335.0,135335.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636364,,2.0,3.0,138892.0,138892.0,142671.0,102.72,1.0,1.0,1.0
2016,NGA0377636364,,2.0,1.0,142365.0,142365.0,0.0,0.0,1.0,1.0,0.0
2017,NGA0377636364,,2.0,3.0,145924.0,145924.0,100551.0,68.91,2.0,2.0,1.0
2018,NGA0377636364,,2.0,3.0,149572.0,149572.0,109993.0,73.54,3.0,3.0,1.0
2019,NGA0377636364,,2.0,3.0,153311.0,153311.0,106208.0,69.28,4.0,4.0,1.0
2020,NGA0377636364,,2.0,3.0,156844.0,156844.0,126715.0,80.79,5.0,5.0,1.0
