year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2016,NGA0379636784,,0.0,0.0,84451.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0379636784,,0.0,0.0,86562.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0379636784,,0.0,0.0,88726.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0379636784,,0.0,0.0,90945.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0379636784,,0.0,0.0,93040.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0379636784,,0.0,0.0,95450.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0379636784,,0.0,0.0,97937.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0379636784,,0.0,0.0,100386.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0379636785,,2.0,1.0,223942.0,223942.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636785,,2.0,3.0,229828.0,229828.0,180423.0,78.5,1.0,1.0,1.0
2016,NGA0379636785,,2.0,3.0,235574.0,235574.0,182364.0,77.41,2.0,2.0,1.0
2017,NGA0379636785,,2.0,3.0,241463.0,241463.0,193000.0,79.93,3.0,3.0,1.0
2018,NGA0379636785,,2.0,3.0,247500.0,247500.0,173990.0,70.3,4.0,4.0,1.0
2019,NGA0379636785,,2.0,3.0,253687.0,253687.0,173836.0,68.52,5.0,5.0,1.0
2020,NGA0379636785,,2.0,3.0,259534.0,259534.0,169019.0,65.12,6.0,6.0,1.0
2021,NGA0379636785,0.5,2.0,1.0,266256.0,266256.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636785,,2.0,3.0,273194.0,273194.0,178757.0,65.43,7.0,7.0,1.0
2023,NGA0379636785,,2.0,1.0,280023.0,0.0,0.0,0.0,7.0,7.0,0.0
2014,NGA0379636786,,2.0,1.0,237881.0,237881.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636786,,2.0,3.0,244133.0,244133.0,184604.0,75.62,1.0,1.0,1.0
2016,NGA0379636786,,2.0,3.0,250236.0,250236.0,186090.0,74.37,2.0,2.0,1.0
2017,NGA0379636786,,2.0,3.0,256492.0,256492.0,204028.0,79.55,3.0,3.0,1.0
2018,NGA0379636786,,2.0,3.0,262904.0,262904.0,191993.0,73.03,4.0,4.0,1.0
2019,NGA0379636786,,2.0,3.0,269477.0,269477.0,187103.0,69.43,5.0,5.0,1.0
2020,NGA0379636786,,2.0,3.0,275687.0,275687.0,180138.0,65.34,6.0,6.0,1.0
2021,NGA0379636786,0.0,2.0,1.0,282828.0,282828.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636786,,2.0,3.0,290197.0,290197.0,191451.0,65.97,7.0,7.0,1.0
2023,NGA0379636786,,2.0,1.0,297452.0,0.0,0.0,0.0,7.0,7.0,0.0
2014,NGA0379636787,,2.0,1.0,142724.0,142724.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636787,,2.0,2.0,146475.0,146475.0,66767.0,45.58,1.0,0.0,0.0
2016,NGA0379636787,,2.0,2.0,150137.0,150137.0,75239.0,50.11,2.0,0.0,0.0
2017,NGA0379636787,,2.0,3.0,153891.0,153891.0,118276.0,76.86,3.0,1.0,1.0
2018,NGA0379636787,,2.0,3.0,157738.0,157738.0,108742.0,68.94,4.0,2.0,1.0
2019,NGA0379636787,,2.0,3.0,161681.0,161681.0,112386.0,69.51,5.0,3.0,1.0
2020,NGA0379636787,,2.0,3.0,165408.0,165408.0,108791.0,65.77,6.0,4.0,1.0
2021,NGA0379636787,,2.0,1.0,169692.0,169692.0,0.0,0.0,6.0,4.0,0.0
2022,NGA0379636787,0.0,2.0,3.0,174113.0,174113.0,119655.0,68.72,7.0,5.0,1.0
2023,NGA0379636787,,2.0,3.0,178466.0,178466.0,134671.0,75.46,8.0,6.0,1.0
2014,NGA0379636788,0.0,2.0,1.0,289395.0,289395.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636788,,2.0,3.0,297001.0,297001.0,180744.0,60.86,1.0,1.0,1.0
2016,NGA0379636788,,2.0,3.0,304426.0,304426.0,238425.0,78.32,2.0,2.0,1.0
2017,NGA0379636788,,2.0,3.0,312037.0,312037.0,237878.0,76.23,3.0,3.0,1.0
2018,NGA0379636788,,2.0,3.0,319837.0,319837.0,227925.0,71.26,4.0,4.0,1.0
2019,NGA0379636788,,2.0,3.0,327833.0,327833.0,228347.0,69.65,5.0,5.0,1.0
2020,NGA0379636788,,2.0,3.0,335389.0,335389.0,225439.0,67.22,6.0,6.0,1.0
2021,NGA0379636788,,2.0,1.0,344075.0,344075.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636788,0.0,2.0,3.0,353041.0,353041.0,233600.0,66.17,7.0,7.0,1.0
2023,NGA0379636788,,2.0,1.0,361867.0,0.0,0.0,0.0,7.0,7.0,0.0
2014,NGA0379636789,,2.0,1.0,326635.0,326635.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636789,,2.0,1.0,335220.0,335220.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636789,,2.0,3.0,343600.0,343600.0,206336.0,60.05,1.0,1.0,1.0
2017,NGA0379636789,,2.0,3.0,352190.0,352190.0,237285.0,67.37,2.0,2.0,1.0
2018,NGA0379636789,,2.0,3.0,360995.0,360995.0,257984.0,71.46,3.0,3.0,1.0
2019,NGA0379636789,,2.0,1.0,370020.0,370020.0,0.0,0.0,3.0,3.0,0.0
2020,NGA0379636789,,2.0,3.0,378547.0,378547.0,246585.0,65.14,4.0,4.0,1.0
2021,NGA0379636789,,2.0,1.0,388352.0,388352.0,0.0,0.0,4.0,4.0,0.0
2022,NGA0379636789,,2.0,3.0,398471.0,398471.0,269784.0,67.7,5.0,5.0,1.0
2023,NGA0379636789,,2.0,3.0,408433.0,408433.0,303490.0,74.31,6.0,6.0,1.0
2014,NGA0379636790,1.61,2.0,1.0,147804.0,147804.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636790,,2.0,1.0,151688.0,151688.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636790,,2.0,3.0,155480.0,155480.0,136735.0,87.94,1.0,1.0,1.0
2017,NGA0379636790,,2.0,3.0,159367.0,159367.0,117002.0,73.42,2.0,2.0,1.0
2018,NGA0379636790,,2.0,3.0,163352.0,163352.0,112391.0,68.8,3.0,3.0,1.0
2019,NGA0379636790,,2.0,3.0,167435.0,167435.0,116564.0,69.62,4.0,4.0,1.0
2020,NGA0379636790,,2.0,3.0,171294.0,171294.0,111579.0,65.14,5.0,5.0,1.0
2021,NGA0379636790,,2.0,1.0,175731.0,175731.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0379636790,0.0,2.0,3.0,180310.0,180310.0,119875.0,66.48,6.0,6.0,1.0
2023,NGA0379636790,,2.0,1.0,184817.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379636791,,2.0,1.0,175563.0,175563.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636791,,2.0,3.0,180177.0,180177.0,159233.0,88.38,1.0,1.0,1.0
2016,NGA0379636791,,2.0,3.0,184682.0,184682.0,109310.0,59.19,2.0,2.0,1.0
2017,NGA0379636791,,2.0,3.0,189299.0,189299.0,137833.0,72.81,3.0,3.0,1.0
2018,NGA0379636791,,2.0,3.0,194031.0,194031.0,131991.0,68.03,4.0,4.0,1.0
2019,NGA0379636791,,2.0,3.0,198882.0,198882.0,136349.0,68.56,5.0,5.0,1.0
2020,NGA0379636791,,2.0,3.0,203465.0,203465.0,132568.0,65.16,6.0,6.0,1.0
2021,NGA0379636791,,2.0,1.0,208735.0,208735.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636791,0.0,2.0,3.0,214174.0,214174.0,141461.0,66.05,7.0,7.0,1.0
2023,NGA0379636791,,2.0,1.0,219528.0,0.0,0.0,0.0,7.0,7.0,0.0
2014,NGA0379636792,,2.0,3.0,147501.0,147501.0,127613.0,86.52,1.0,1.0,1.0
2015,NGA0379636792,,2.0,3.0,151377.0,151377.0,122532.0,80.94,2.0,2.0,1.0
2016,NGA0379636792,,2.0,3.0,155162.0,155162.0,319408.0,205.85,3.0,3.0,1.0
2017,NGA0379636792,14.0,2.0,3.0,159041.0,159041.0,127829.0,80.37,4.0,4.0,1.0
2018,NGA0379636792,,2.0,3.0,163017.0,163017.0,107989.0,66.24,5.0,5.0,1.0
2019,NGA0379636792,,2.0,3.0,167092.0,167092.0,116360.0,69.64,6.0,6.0,1.0
2020,NGA0379636792,,2.0,3.0,170943.0,170943.0,111371.0,65.15,7.0,7.0,1.0
2021,NGA0379636792,3.26,2.0,1.0,175370.0,175370.0,0.0,0.0,7.0,7.0,0.0
2022,NGA0379636792,,2.0,3.0,179940.0,179940.0,119884.0,66.62,8.0,8.0,1.0
2023,NGA0379636792,,2.0,3.0,184438.0,184438.0,127008.0,68.86,9.0,9.0,1.0
2014,NGA0379636793,,2.0,1.0,183772.0,183772.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636793,,2.0,1.0,188602.0,188602.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636793,,2.0,3.0,193317.0,193317.0,141280.0,73.08,1.0,1.0,1.0
2017,NGA0379636793,,2.0,3.0,198150.0,198150.0,147341.0,74.36,2.0,2.0,1.0
2018,NGA0379636793,,2.0,3.0,203104.0,203104.0,143966.0,70.88,3.0,3.0,1.0
2019,NGA0379636793,,2.0,3.0,208181.0,208181.0,142777.0,68.58,4.0,4.0,1.0
2020,NGA0379636793,,2.0,3.0,212979.0,212979.0,138788.0,65.17,5.0,5.0,1.0
2021,NGA0379636793,,2.0,1.0,218495.0,218495.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0379636793,0.0,2.0,3.0,224189.0,224189.0,149080.0,66.5,6.0,6.0,1.0
2023,NGA0379636793,,2.0,1.0,229793.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379636794,,2.0,1.0,235286.0,235286.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636794,,2.0,1.0,241470.0,241470.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636794,,2.0,3.0,247507.0,247507.0,146145.0,59.05,1.0,1.0,1.0
2017,NGA0379636794,,2.0,3.0,253695.0,253695.0,201078.0,79.26,2.0,2.0,1.0
2018,NGA0379636794,,2.0,3.0,260037.0,260037.0,201521.0,77.5,3.0,3.0,1.0
2019,NGA0379636794,,2.0,3.0,266538.0,266538.0,182927.0,68.63,4.0,4.0,1.0
2020,NGA0379636794,,2.0,3.0,272681.0,272681.0,177576.0,65.12,5.0,5.0,1.0
2021,NGA0379636794,,2.0,1.0,279743.0,279743.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0379636794,,2.0,3.0,287032.0,287032.0,191175.0,66.6,6.0,6.0,1.0
2023,NGA0379636794,,2.0,3.0,294208.0,294208.0,225091.0,76.51,7.0,7.0,1.0
2014,NGA0379636795,,2.0,1.0,103925.0,103925.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636795,,2.0,1.0,106657.0,106657.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636795,,2.0,3.0,109323.0,109323.0,177682.0,162.53,1.0,1.0,1.0
2017,NGA0379636795,,2.0,3.0,112056.0,112056.0,78812.0,70.33,2.0,2.0,1.0
2018,NGA0379636795,,2.0,3.0,114858.0,114858.0,79107.0,68.87,3.0,3.0,1.0
2019,NGA0379636795,,2.0,3.0,117729.0,117729.0,80679.0,68.53,4.0,4.0,1.0
2020,NGA0379636795,,2.0,3.0,120442.0,120442.0,78537.0,65.21,5.0,5.0,1.0
2021,NGA0379636795,,2.0,1.0,123562.0,123562.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0379636795,0.0,2.0,3.0,126781.0,126781.0,83897.0,66.17,6.0,6.0,1.0
2023,NGA0379636795,,2.0,1.0,129951.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379636796,,2.0,1.0,188136.0,188136.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636796,,2.0,1.0,193080.0,193080.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636796,,2.0,2.0,197907.0,197907.0,83593.0,42.24,1.0,0.0,0.0
2017,NGA0379636796,,2.0,3.0,202855.0,202855.0,154559.0,76.19,2.0,1.0,1.0
2018,NGA0379636796,,2.0,3.0,207927.0,207927.0,143991.0,69.25,3.0,2.0,1.0
2019,NGA0379636796,,2.0,3.0,213125.0,213125.0,146073.0,68.54,4.0,3.0,1.0
2020,NGA0379636796,,2.0,3.0,218036.0,218036.0,141968.0,65.11,5.0,4.0,1.0
2021,NGA0379636796,,2.0,1.0,223684.0,223684.0,0.0,0.0,5.0,4.0,0.0
2022,NGA0379636796,,2.0,3.0,229512.0,229512.0,155982.0,67.96,6.0,5.0,1.0
2023,NGA0379636796,,2.0,3.0,235250.0,235250.0,183550.0,78.02,7.0,6.0,1.0
2014,NGA0379636797,,2.0,1.0,213789.0,213789.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636797,,2.0,1.0,219408.0,219408.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379636797,,2.0,3.0,224893.0,224893.0,168003.0,74.7,1.0,1.0,1.0
2017,NGA0379636797,,2.0,3.0,230515.0,230515.0,164378.0,71.31,2.0,2.0,1.0
2018,NGA0379636797,,2.0,3.0,236278.0,236278.0,160087.0,67.75,3.0,3.0,1.0
2019,NGA0379636797,,2.0,3.0,242185.0,242185.0,162555.0,67.12,4.0,4.0,1.0
2020,NGA0379636797,,2.0,3.0,247767.0,247767.0,166331.0,67.13,5.0,5.0,1.0
2021,NGA0379636797,,2.0,1.0,254184.0,254184.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0379636797,0.0,2.0,3.0,260807.0,260807.0,173397.0,66.48,6.0,6.0,1.0
2023,NGA0379636797,,2.0,3.0,267327.0,267327.0,210434.0,78.72,7.0,7.0,1.0
2014,NGA0379636798,,2.0,3.0,151825.0,151825.0,128535.0,84.66,1.0,1.0,1.0
2015,NGA0379636798,,2.0,3.0,155816.0,155816.0,138790.0,89.07,2.0,2.0,1.0
2016,NGA0379636798,,2.0,3.0,159711.0,159711.0,164763.0,103.16,3.0,3.0,1.0
2017,NGA0379636798,0.0,2.0,3.0,163704.0,163704.0,128222.0,78.33,4.0,4.0,1.0
2018,NGA0379636798,,2.0,3.0,167796.0,167796.0,113911.0,67.89,5.0,5.0,1.0
2019,NGA0379636798,,2.0,3.0,171991.0,171991.0,119588.0,69.53,6.0,6.0,1.0
2020,NGA0379636798,,2.0,1.0,175955.0,175955.0,0.0,0.0,6.0,6.0,0.0
2021,NGA0379636798,,2.0,1.0,180512.0,180512.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636798,,1.0,4.0,185216.0,0.0,0.0,0.0,6.0,6.0,0.0
2023,NGA0379636798,,1.0,4.0,189846.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379636799,,2.0,3.0,109443.0,109443.0,97325.0,88.93,1.0,1.0,1.0
2015,NGA0379636799,,2.0,3.0,112319.0,112319.0,89847.0,79.99,2.0,2.0,1.0
2016,NGA0379636799,,2.0,3.0,115127.0,115127.0,108701.0,94.42,3.0,3.0,1.0
2017,NGA0379636799,2.46,2.0,3.0,118005.0,118005.0,91000.0,77.12,4.0,4.0,1.0
2018,NGA0379636799,,2.0,3.0,120955.0,120955.0,97323.0,80.46,5.0,5.0,1.0
2019,NGA0379636799,,2.0,3.0,123979.0,123979.0,84090.0,67.83,6.0,6.0,1.0
2020,NGA0379636799,,2.0,3.0,126836.0,126836.0,82591.0,65.12,7.0,7.0,1.0
2021,NGA0379636799,1.48,2.0,1.0,130121.0,130121.0,0.0,0.0,7.0,7.0,0.0
2022,NGA0379636799,,2.0,3.0,133512.0,133512.0,89208.0,66.82,8.0,8.0,1.0
2023,NGA0379636799,,2.0,3.0,136850.0,136850.0,105314.0,76.96,9.0,9.0,1.0
2014,NGA0379636800,,2.0,3.0,154721.0,154721.0,127454.0,82.38,1.0,1.0,1.0
2015,NGA0379636800,,2.0,3.0,158788.0,158788.0,124034.0,78.11,2.0,2.0,1.0
2016,NGA0379636800,,2.0,3.0,162758.0,162758.0,99361.0,61.05,3.0,3.0,1.0
2017,NGA0379636800,,2.0,3.0,166827.0,166827.0,126202.0,75.65,4.0,4.0,1.0
2018,NGA0379636800,,2.0,3.0,170997.0,170997.0,113888.0,66.6,5.0,5.0,1.0
2019,NGA0379636800,,2.0,3.0,175272.0,175272.0,121605.0,69.38,6.0,6.0,1.0
2020,NGA0379636800,,2.0,1.0,179312.0,179312.0,0.0,0.0,6.0,6.0,0.0
2021,NGA0379636800,,2.0,1.0,183956.0,183956.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636800,,1.0,4.0,188749.0,0.0,0.0,0.0,6.0,6.0,0.0
2023,NGA0379636800,,1.0,4.0,193468.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379636801,,2.0,1.0,182812.0,182812.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379636801,,2.0,3.0,187617.0,187617.0,133463.0,71.14,1.0,1.0,1.0
2016,NGA0379636801,,2.0,3.0,192307.0,192307.0,105324.0,54.77,2.0,2.0,1.0
2017,NGA0379636801,,2.0,3.0,197115.0,197115.0,138000.0,70.01,3.0,3.0,1.0
2018,NGA0379636801,,2.0,3.0,202043.0,202043.0,135988.0,67.31,4.0,4.0,1.0
2019,NGA0379636801,,2.0,3.0,207094.0,207094.0,144120.0,69.59,5.0,5.0,1.0
2020,NGA0379636801,,2.0,3.0,211866.0,211866.0,138000.0,65.14,6.0,6.0,1.0
2021,NGA0379636801,0.66,2.0,1.0,217354.0,217354.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636801,,2.0,3.0,223017.0,223017.0,148000.0,66.36,7.0,7.0,1.0
2023,NGA0379636801,,2.0,1.0,228593.0,0.0,0.0,0.0,7.0,7.0,0.0
2014,NGA0379636802,,2.0,3.0,322720.0,322720.0,304092.0,94.23,1.0,1.0,1.0
2015,NGA0379636802,,2.0,3.0,331202.0,331202.0,332489.0,100.39,2.0,2.0,1.0
2016,NGA0379636802,,2.0,2.0,339482.0,339482.0,149841.0,44.14,3.0,2.0,0.0
2017,NGA0379636802,,2.0,3.0,347969.0,347969.0,276000.0,79.32,4.0,3.0,1.0
2018,NGA0379636802,3.0,2.0,3.0,356669.0,356669.0,251960.0,70.64,5.0,4.0,1.0
2019,NGA0379636802,,2.0,3.0,365585.0,365585.0,254768.0,69.69,6.0,5.0,1.0
2020,NGA0379636802,,2.0,3.0,374011.0,374011.0,244239.0,65.3,7.0,6.0,1.0
2021,NGA0379636802,0.33,2.0,1.0,383697.0,383697.0,0.0,0.0,7.0,6.0,0.0
2022,NGA0379636802,,2.0,3.0,393695.0,393695.0,257377.0,65.37,8.0,7.0,1.0
2023,NGA0379636802,,2.0,1.0,403538.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0379636803,,2.0,3.0,121417.0,121417.0,134471.0,110.75,1.0,1.0,1.0
2015,NGA0379636803,,2.0,3.0,124608.0,124608.0,127105.0,102.0,2.0,2.0,1.0
2016,NGA0379636803,,2.0,3.0,127723.0,127723.0,95159.0,74.5,3.0,3.0,1.0
2017,NGA0379636803,,2.0,3.0,130916.0,130916.0,102000.0,77.91,4.0,4.0,1.0
2018,NGA0379636803,0.17,2.0,3.0,134189.0,134189.0,90991.0,67.81,5.0,5.0,1.0
2019,NGA0379636803,,2.0,3.0,137544.0,137544.0,95322.0,69.3,6.0,6.0,1.0
2020,NGA0379636803,,2.0,1.0,140714.0,140714.0,0.0,0.0,6.0,6.0,0.0
2021,NGA0379636803,,2.0,1.0,144358.0,144358.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379636803,,1.0,4.0,148120.0,0.0,0.0,0.0,6.0,6.0,0.0
2023,NGA0379636803,,1.0,4.0,151823.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379636804,,2.0,3.0,201451.0,201451.0,107218.0,53.22,1.0,1.0,1.0
2015,NGA0379636804,,2.0,3.0,206746.0,206746.0,121241.0,58.64,2.0,2.0,1.0
2016,NGA0379636804,,2.0,3.0,211914.0,211914.0,150725.0,71.13,3.0,3.0,1.0
2017,NGA0379636804,,2.0,3.0,217212.0,217212.0,172397.0,79.37,4.0,4.0,1.0
2018,NGA0379636804,,2.0,3.0,222642.0,222642.0,149987.0,67.37,5.0,5.0,1.0
2019,NGA0379636804,,2.0,3.0,228208.0,228208.0,155958.0,68.34,6.0,6.0,1.0
2020,NGA0379636804,,2.0,3.0,233468.0,233468.0,156666.0,67.1,7.0,7.0,1.0
2021,NGA0379636804,,2.0,1.0,239514.0,239514.0,0.0,0.0,7.0,7.0,0.0
2022,NGA0379636804,0.16,2.0,3.0,245755.0,245755.0,161061.0,65.54,8.0,8.0,1.0
2023,NGA0379636804,,2.0,3.0,251899.0,251899.0,189570.0,75.26,9.0,9.0,1.0
2014,NGA0379736805,,0.0,0.0,246046.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379736805,,0.0,0.0,252513.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379736805,,0.0,0.0,258825.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0379736805,,0.0,0.0,265296.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0379736805,,0.0,0.0,271928.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0379736805,,0.0,0.0,278727.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0379736805,,0.0,0.0,285150.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0379736805,,0.0,0.0,292536.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0379736805,,0.0,0.0,300158.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0379736805,,0.0,0.0,307662.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0379736806,,2.0,1.0,148850.0,148850.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379736806,,2.0,2.0,152762.0,152762.0,65208.0,42.69,1.0,0.0,0.0
2016,NGA0379736806,,2.0,3.0,156581.0,156581.0,122876.0,78.47,2.0,1.0,1.0
2017,NGA0379736806,,2.0,3.0,160496.0,160496.0,126970.0,79.11,3.0,2.0,1.0
2018,NGA0379736806,,2.0,3.0,164508.0,164508.0,131639.0,80.02,4.0,3.0,1.0
2019,NGA0379736806,,2.0,3.0,168621.0,168621.0,135697.0,80.47,5.0,4.0,1.0
2020,NGA0379736806,,2.0,3.0,172507.0,172507.0,136236.0,78.97,6.0,5.0,1.0
2021,NGA0379736806,,2.0,1.0,176975.0,176975.0,0.0,0.0,6.0,5.0,0.0
2022,NGA0379736806,0.31,2.0,1.0,181586.0,181586.0,0.0,0.0,6.0,5.0,0.0
2023,NGA0379736806,,2.0,1.0,186126.0,0.0,0.0,0.0,6.0,5.0,0.0
2014,NGA0379736807,,2.0,3.0,325337.0,325337.0,224484.0,69.0,1.0,1.0,1.0
2015,NGA0379736807,,2.0,3.0,333887.0,333887.0,254931.0,76.35,2.0,2.0,1.0
2016,NGA0379736807,,2.0,3.0,342234.0,342234.0,272043.0,79.49,3.0,3.0,1.0
2017,NGA0379736807,,2.0,3.0,350803.0,350803.0,281390.0,80.21,4.0,4.0,1.0
2018,NGA0379736807,,2.0,3.0,359560.0,359560.0,306335.0,85.2,5.0,5.0,1.0
2019,NGA0379736807,0.16,2.0,3.0,368549.0,368549.0,291987.0,79.23,6.0,6.0,1.0
2020,NGA0379736807,,2.0,1.0,377043.0,377043.0,0.0,0.0,6.0,6.0,0.0
2021,NGA0379736807,,2.0,1.0,386808.0,386808.0,0.0,0.0,6.0,6.0,0.0
2022,NGA0379736807,0.0,2.0,1.0,396887.0,396887.0,0.0,0.0,6.0,6.0,0.0
2023,NGA0379736807,,1.0,4.0,406809.0,0.0,0.0,0.0,6.0,6.0,0.0
2014,NGA0379736808,,2.0,3.0,170355.0,170355.0,135005.0,79.25,1.0,1.0,1.0
2015,NGA0379736808,,2.0,3.0,174832.0,174832.0,137630.0,78.72,2.0,2.0,1.0
2016,NGA0379736808,,2.0,3.0,179203.0,179203.0,137087.0,76.5,3.0,3.0,1.0
2017,NGA0379736808,0.0,2.0,3.0,183683.0,183683.0,144511.0,78.67,4.0,4.0,1.0
2018,NGA0379736808,0.16,2.0,3.0,188275.0,188275.0,151008.0,80.21,5.0,5.0,1.0
2019,NGA0379736808,,2.0,3.0,192982.0,192982.0,151987.0,78.76,6.0,6.0,1.0
2020,NGA0379736808,,2.0,3.0,197429.0,197429.0,131693.0,66.7,7.0,7.0,1.0
2021,NGA0379736808,,2.0,1.0,202543.0,202543.0,0.0,0.0,7.0,7.0,0.0
2022,NGA0379736808,0.0,2.0,1.0,207820.0,207820.0,0.0,0.0,7.0,7.0,0.0
2023,NGA0379736808,,1.0,4.0,213016.0,0.0,0.0,0.0,7.0,7.0,0.0
2014,NGA0379736809,,0.0,0.0,316769.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379736809,,0.0,0.0,325094.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379736809,,0.0,0.0,333221.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0379736809,,0.0,0.0,341552.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0379736809,,0.0,0.0,350091.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0379736809,,0.0,0.0,358843.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0379736809,,0.0,0.0,367113.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0379736809,,0.0,0.0,376621.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0379736809,,0.0,0.0,386435.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0379736809,,0.0,0.0,396095.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0379736810,,0.0,0.0,155918.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379736810,,0.0,0.0,160016.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379736810,,0.0,0.0,164016.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0379736810,,0.0,0.0,168116.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0379736810,,0.0,0.0,172319.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0379736810,,0.0,0.0,176627.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,NGA0379736810,,0.0,0.0,180698.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NGA0379736810,,0.0,0.0,185378.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,NGA0379736810,,0.0,0.0,190208.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,NGA0379736810,,0.0,0.0,194963.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NGA0379736811,,0.0,0.0,97125.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0379736811,,0.0,0.0,99678.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0379736811,,0.0,0.0,102170.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0379736811,,0.0,0.0,104724.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,NGA0379736811,,0.0,0.0,107342.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,NGA0379736811,,0.0,0.0,110026.0,0.0,0.0,0.0,0.0,0.0,0.0
